"","V1","V2"
"Q2L815","Protein Tat (Transactivating regulatory protein)","5"
"A8T7W3","Protein Tat (Transactivating regulatory protein)","5"
"A0A3S5GPY4","Protein Tat (Transactivating regulatory protein)","5"
"A0A5J6SES0","Protein Tat (Transactivating regulatory protein)","5"
"A0A0B5L648","Protein Tat (Transactivating regulatory protein)","5"
"Q6X4P4","Protein Tat (Transactivating regulatory protein)","5"
"A0A286LFU0","Protein Tat (Transactivating regulatory protein)","5"
"A0A517ENK1","Protein Tat (Transactivating regulatory protein)","5"
"Q9DSM1","Protein Tat (Transactivating regulatory protein)","5"
"A0A0K1HB25","Protein Tat (Transactivating regulatory protein)","5"
"A0A059SRM3","Protein Tat (Transactivating regulatory protein)","5"
"A0A650F9C5","Protein Tat (Transactivating regulatory protein)","5"
"I1V8R7","Protein Tat (Transactivating regulatory protein)","5"
"A0A7U0MQ78","Protein Tat (Transactivating regulatory protein)","5"
"L7TBZ2","Protein Tat (Transactivating regulatory protein)","5"
"A0A5J6S041","Protein Tat (Transactivating regulatory protein)","5"
"A0A411KEM7","Protein Tat (Transactivating regulatory protein)","5"
"K4MXN2","Protein Tat (Transactivating regulatory protein)","5"
"A0A1B1P5S1","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M4F671","Protein Tat (Transactivating regulatory protein)","5"
"Q8ADV6","Protein Tat (Transactivating regulatory protein)","5"
"A0A1U8YJ46","Protein Tat (Transactivating regulatory protein)","5"
"A0A140ED16","Protein Tat (Transactivating regulatory protein)","5"
"A0A7D4ZJ63","Protein Tat (Transactivating regulatory protein)","5"
"Q4PTF5","Protein Tat (Transactivating regulatory protein)","5"
"A0A2L1KWV1","Protein Tat (Transactivating regulatory protein)","5"
"A0A0K1RGA3","Protein Tat (Transactivating regulatory protein)","5"
"A0A286LGG5","Protein Tat (Transactivating regulatory protein)","5"
"A0A7G5WNP5","Protein Tat (Transactivating regulatory protein)","5"
"V9QI67","Protein Tat (Transactivating regulatory protein)","5"
"Q5FXS5","Protein Tat (Transactivating regulatory protein)","5"
"V9QIE9","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5QUE6","Protein Tat (Transactivating regulatory protein)","5"
"D7RN99","Protein Tat (Transactivating regulatory protein)","5"
"F5CFR2","Protein Tat (Transactivating regulatory protein)","5"
"A0A6C1AIW6","Protein Tat (Transactivating regulatory protein)","5"
"D6NVS4","Protein Tat (Transactivating regulatory protein)","5"
"A0A3S5GPX7","Protein Tat (Transactivating regulatory protein)","5"
"A0A514YM18","Protein Tat (Transactivating regulatory protein)","5"
"A0A076V4H6","Protein Tat (Transactivating regulatory protein)","5"
"A0A221J1U2","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5QZI0","Protein Tat (Transactivating regulatory protein)","5"
"A0A5J6SCA8","Protein Tat (Transactivating regulatory protein)","5"
"A0A4D6TIW8","Protein Tat (Transactivating regulatory protein)","5"
"A0A7L9QRY9","Protein Tat (Transactivating regulatory protein)","5"
"D6NVT7","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M4F8S0","Protein Tat (Transactivating regulatory protein)","5"
"A0A6H0JV59","Protein Tat (Transactivating regulatory protein)","5"
"K4MX51","Protein Tat (Transactivating regulatory protein)","5"
"A0A346ARE7","Protein Tat (Transactivating regulatory protein)","5"
"A0A6H0Z1L4","Protein Tat (Transactivating regulatory protein)","5"
"A0A3S7RIV7","Protein Tat (Transactivating regulatory protein)","5"
"Q71816","Protein Tat (Transactivating regulatory protein)","5"
"A0A076V735","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M6AS03","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1D2L7","Protein Tat (Transactivating regulatory protein)","5"
"Q2I1N8","Protein Tat (Transactivating regulatory protein)","5"
"A0A286LHC6","Protein Tat (Transactivating regulatory protein)","5"
"A0A517EQL6","Protein Tat (Transactivating regulatory protein)","5"
"A0A0K1HCG4","Protein Tat (Transactivating regulatory protein)","5"
"A0A7T3QXF8","Protein Tat (Transactivating regulatory protein)","5"
"A0A7T3U7H6","Protein Tat (Transactivating regulatory protein)","5"
"I7F102","Protein Tat (Transactivating regulatory protein)","5"
"Q998E8","Protein Tat (Transactivating regulatory protein)","5"
"M4P6R4","Protein Tat (Transactivating regulatory protein)","5"
"Q6RJ77","Protein Tat (Transactivating regulatory protein)","5"
"C5HAN9","Protein Tat (Transactivating regulatory protein)","5"
"A0A0U4EFX8","Protein Tat (Transactivating regulatory protein)","5"
"A0A6C0N6Y9","Protein Tat (Transactivating regulatory protein)","5"
"A0A6C0N0H9","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1J468","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M8QAB5","Protein Tat (Transactivating regulatory protein)","5"
"A0A059VQT2","Protein Tat (Transactivating regulatory protein)","5"
"A0A1S6KJJ1","Protein Tat (Transactivating regulatory protein)","5"
"A0A411I7C8","Protein Tat (Transactivating regulatory protein)","5"
"A0A4P8W377","Protein Tat (Transactivating regulatory protein)","5"
"A0A6H0YWR5","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5QQE4","Protein Tat (Transactivating regulatory protein)","5"
"A0A7L9QRI8","Protein Tat (Transactivating regulatory protein)","5"
"Q9DGU5","Protein Tat (Transactivating regulatory protein)","5"
"Q0ECJ9","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5NIL1","Protein Tat (Transactivating regulatory protein)","5"
"D7NZR7","Protein Tat (Transactivating regulatory protein)","5"
"D6NWJ5","Protein Tat (Transactivating regulatory protein)","5"
"D6NSV3","Protein Tat (Transactivating regulatory protein)","5"
"A0A1L7DSS0","Protein Tat (Transactivating regulatory protein)","5"
"Q8UPN3","Protein Tat (Transactivating regulatory protein)","5"
"A0A159CAE9","Protein Tat (Transactivating regulatory protein)","5"
"Q994P1","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5N8C7","Protein Tat (Transactivating regulatory protein)","5"
"A0A3Q8HBZ7","Protein Tat (Transactivating regulatory protein)","5"
"D6NWS4","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5Q013","Protein Tat (Transactivating regulatory protein)","5"
"E5RCM2","Protein Tat (Transactivating regulatory protein)","5"
"Q0QKZ3","Protein Tat (Transactivating regulatory protein)","5"
"Q1M0K0","Protein Tat (Transactivating regulatory protein)","5"
"Q2NMJ3","Protein Tat (Transactivating regulatory protein)","5"
"A9U9H5","Protein Tat (Transactivating regulatory protein)","5"
"Q6UER0","Protein Tat (Transactivating regulatory protein)","5"
"Q901Y4","Protein Tat (Transactivating regulatory protein)","5"
"F5CG03","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5NHZ9","Protein Tat (Transactivating regulatory protein)","5"
"V9QHW4","Protein Tat (Transactivating regulatory protein)","5"
"Q9YV09","Protein Tat (Transactivating regulatory protein)","5"
"I6R630","Protein Tat (Transactivating regulatory protein)","5"
"Q8USX2","Protein Tat (Transactivating regulatory protein)","5"
"A0A7U0MP41","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1J4A6","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M6LTL7","Protein Tat (Transactivating regulatory protein)","5"
"I6QQR5","Protein Tat (Transactivating regulatory protein)","5"
"I7ESL4","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M4F902","Protein Tat (Transactivating regulatory protein)","5"
"Q902N2","Protein Tat (Transactivating regulatory protein)","5"
"A0A3S5GPI7","Protein Tat (Transactivating regulatory protein)","5"
"D6NW31","Protein Tat (Transactivating regulatory protein)","5"
"Q6JNW7","Protein Tat (Transactivating regulatory protein)","5"
"D6NVU3","Protein Tat (Transactivating regulatory protein)","5"
"C5HR36","Protein Tat (Transactivating regulatory protein)","5"
"Q0MXD8","Protein Tat (Transactivating regulatory protein)","5"
"A8JZ46","Protein Tat (Transactivating regulatory protein)","5"
"A0A1P8DHL6","Protein Tat (Transactivating regulatory protein)","5"
"A0A1D8BBW9","Protein Tat (Transactivating regulatory protein)","5"
"Q4JGG8","Protein Tat (Transactivating regulatory protein)","5"
"H6CXS1","Protein Tat (Transactivating regulatory protein)","5"
"A0A1L7E4Z7","Protein Tat (Transactivating regulatory protein)","5"
"A0A7T3QXH4","Protein Tat (Transactivating regulatory protein)","5"
"B2DF42","Protein Tat (Transactivating regulatory protein)","5"
"M1KG16","Protein Tat (Transactivating regulatory protein)","5"
"M4P1B4","Protein Tat (Transactivating regulatory protein)","5"
"Q1M016","Protein Tat (Transactivating regulatory protein)","5"
"D6NVR3","Protein Tat (Transactivating regulatory protein)","5"
"A0A6H0YY06","Protein Tat (Transactivating regulatory protein)","5"
"Q9QSS7","Protein Tat (Transactivating regulatory protein)","5"
"H6D3M8","Protein Tat (Transactivating regulatory protein)","5"
"Q8JBC9","Protein Tat (Transactivating regulatory protein)","5"
"Q8UTM0","Protein Tat (Transactivating regulatory protein)","5"
"A0A7L9QRZ3","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5PZE2","Protein Tat (Transactivating regulatory protein)","5"
"A0A6H0YY47","Protein Tat (Transactivating regulatory protein)","5"
"Q9Q708","Protein Tat (Transactivating regulatory protein)","5"
"A0A059SQR5","Protein Tat (Transactivating regulatory protein)","5"
"A0A0H4LEB9","Protein Tat (Transactivating regulatory protein)","5"
"B7SGT9","Protein Tat (Transactivating regulatory protein)","5"
"D6NWU3","Protein Tat (Transactivating regulatory protein)","5"
"Q596T6","Protein Tat (Transactivating regulatory protein)","5"
"C5HBJ6","Protein Tat (Transactivating regulatory protein)","5"
"Q2VAL5","Protein Tat (Transactivating regulatory protein)","5"
"I6QTY6","Protein Tat (Transactivating regulatory protein)","5"
"Q66TT7","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1EGE2","Protein Tat (Transactivating regulatory protein)","5"
"A0A3S5GPK7","Protein Tat (Transactivating regulatory protein)","5"
"A0A3S7RL74","Protein Tat (Transactivating regulatory protein)","5"
"A0A7T7WVU5","Protein Tat (Transactivating regulatory protein)","5"
"Q5G7C8","Protein Tat (Transactivating regulatory protein)","5"
"A0A6C0ZTY0","Protein Tat (Transactivating regulatory protein)","5"
"A0A3S7TEQ4","Protein Tat (Transactivating regulatory protein)","5"
"A0A7L9QK27","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1J4U4","Protein Tat (Transactivating regulatory protein)","5"
"A0A1P8DHW3","Protein Tat (Transactivating regulatory protein)","5"
"A0A7G5WNW1","Protein Tat (Transactivating regulatory protein)","5"
"B7SWF9","Protein Tat (Transactivating regulatory protein)","5"
"O90093","Protein Tat (Transactivating regulatory protein)","5"
"Q4U546","Protein Tat (Transactivating regulatory protein)","5"
"Q8JC11","Protein Tat (Transactivating regulatory protein)","5"
"A0A0H4LE40","Protein Tat (Transactivating regulatory protein)","5"
"Q4U579","Protein Tat (Transactivating regulatory protein)","5"
"A0A0K1HBT4","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5PWY7","Protein Tat (Transactivating regulatory protein)","5"
"A0A7L9QKP1","Protein Tat (Transactivating regulatory protein)","5"
"A0A0U3VB33","Protein Tat (Transactivating regulatory protein)","5"
"A0A7L9QUL7","Protein Tat (Transactivating regulatory protein)","5"
"F2YY08","Protein Tat (Transactivating regulatory protein)","5"
"Q6JNQ4","Protein Tat (Transactivating regulatory protein)","5"
"A0A1L4ANB1","Protein Tat (Transactivating regulatory protein)","5"
"Q673V9","Protein Tat (Transactivating regulatory protein)","5"
"Q1KW97","Protein Tat (Transactivating regulatory protein)","5"
"Q6E6W4","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1DJX2","Protein Tat (Transactivating regulatory protein)","5"
"Q52S42","Protein Tat (Transactivating regulatory protein)","5"
"A0A6H0YXT0","Protein Tat (Transactivating regulatory protein)","5"
"A0A1P8DHS1","Protein Tat (Transactivating regulatory protein)","5"
"F2YXY1","Protein Tat (Transactivating regulatory protein)","5"
"A0A1L4AMH7","Protein Tat (Transactivating regulatory protein)","5"
"A0A1L4AMS7","Protein Tat (Transactivating regulatory protein)","5"
"A0A6G8QLF1","Protein Tat (Transactivating regulatory protein)","5"
"A0A0U4DLL6","Protein Tat (Transactivating regulatory protein)","5"
"A0A6B7E8P6","Protein Tat (Transactivating regulatory protein)","5"
"C7A6M4","Protein Tat (Transactivating regulatory protein)","5"
"M4NXK8","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5NMQ3","Protein Tat (Transactivating regulatory protein)","5"
"Q8ADD0","Protein Tat (Transactivating regulatory protein)","5"
"D6NWU8","Protein Tat (Transactivating regulatory protein)","5"
"A0A7T8AWR9","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1DJ73","Protein Tat (Transactivating regulatory protein)","5"
"I6ZTG3","Protein Tat (Transactivating regulatory protein)","5"
"A0A1S5RJ10","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5NNK6","Protein Tat (Transactivating regulatory protein)","5"
"A0A7U0MQA8","Protein Tat (Transactivating regulatory protein)","5"
"I7FT79","Protein Tat (Transactivating regulatory protein)","5"
"A0A3Q8H228","Protein Tat (Transactivating regulatory protein)","5"
"A0A0K1HA14","Protein Tat (Transactivating regulatory protein)","5"
"H6D3N7","Protein Tat (Transactivating regulatory protein)","5"
"M1KQX2","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5QYR1","Protein Tat (Transactivating regulatory protein)","5"
"A0A7L9QUS7","Protein Tat (Transactivating regulatory protein)","5"
"A0A6H0MI19","Protein Tat (Transactivating regulatory protein)","5"
"A0A221SEI6","Protein Tat (Transactivating regulatory protein)","5"
"A0A6C0ZUR1","Protein Tat (Transactivating regulatory protein)","5"
"A0A166XJM4","Protein Tat (Transactivating regulatory protein)","5"
"A0A517EQT5","Protein Tat (Transactivating regulatory protein)","5"
"M4UY63","Protein Tat (Transactivating regulatory protein)","5"
"M4P1L7","Protein Tat (Transactivating regulatory protein)","5"
"Q1KWJ3","Protein Tat (Transactivating regulatory protein)","5"
"D6NVR4","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5QTL6","Protein Tat (Transactivating regulatory protein)","5"
"Q2NMH5","Protein Tat (Transactivating regulatory protein)","5"
"X2JFE1","Protein Tat (Transactivating regulatory protein)","5"
"O93087","Protein Tat (Transactivating regulatory protein)","5"
"A0A411KEA3","Protein Tat (Transactivating regulatory protein)","5"
"A0A3G5PXV6","Protein Tat (Transactivating regulatory protein)","5"
"A0A2L1KVR6","Protein Tat (Transactivating regulatory protein)","5"
"Q8ADH8","Protein Tat (Transactivating regulatory protein)","5"
"I6YYC2","Protein Tat (Transactivating regulatory protein)","5"
"Q3S5Y8","Protein Tat (Transactivating regulatory protein)","5"
"U6BJS7","Protein Tat (Transactivating regulatory protein)","5"
"Q5FXQ0","Protein Tat (Transactivating regulatory protein)","5"
"A0A1B2FQB5","Protein Tat (Transactivating regulatory protein)","5"
"A0A410T0E0","Protein Tat (Transactivating regulatory protein)","5"
"Q7ZMH0","Protein Tat (Transactivating regulatory protein)","5"
"G9IPK2","Protein Tat (Transactivating regulatory protein)","5"
"A9Y686","Protein Tat (Transactivating regulatory protein)","5"
"J3QYH3","Protein Tat (Transactivating regulatory protein)","5"
"V5W3R9","Protein Tat (Transactivating regulatory protein)","5"
"A0A286LGA6","Protein Tat (Transactivating regulatory protein)","5"
"A0A2S1EA57","Protein Tat (Transactivating regulatory protein)","5"
"Q596L9","Protein Tat (Transactivating regulatory protein)","5"
"A8JZ55","Protein Tat (Transactivating regulatory protein)","5"
"A8T6C8","Protein Tat (Transactivating regulatory protein)","5"
"A0A166XM70","Protein Tat (Transactivating regulatory protein)","5"
"C5HAX7","Protein Tat (Transactivating regulatory protein)","5"
"A0A650F969","Protein Tat (Transactivating regulatory protein)","5"
"Q00M16","Protein Tat (Transactivating regulatory protein)","5"
"Q8ADN4","Protein Tat (Transactivating regulatory protein)","5"
"A0A6H0JWX9","Protein Tat (Transactivating regulatory protein)","5"
"A0A059XMI9","Protein Tat (Transactivating regulatory protein)","5"
"A0A7D6EMG8","Protein Tat (Transactivating regulatory protein)","5"
"A0A6M6ANY3","Protein Tat (Transactivating regulatory protein)","5"
"Q2I1W3","Protein Tat (Transactivating regulatory protein)","5"
"R9X1C9","Protein Tat (Transactivating regulatory protein)","5"
"A0A076V5S3","Protein Tat (Transactivating regulatory protein)","5"
"A0A0C5K9N9","Protein Tat (Transactivating regulatory protein)","5"
"D6NVW4","Protein Tat (Transactivating regulatory protein)","5"
"H6CWR1","Protein Tat (Transactivating regulatory protein)","4"
"A0A6B7E9R8","Protein Tat (Transactivating regulatory protein)","5"
"Q6JNA7","Protein Tat (Transactivating regulatory protein)","5"
